India/ State/ UT,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 3-5 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-10 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 11-13 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 6-13 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 14-15 - Total,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Boys,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Girls,Projected Population by Age Group - Scheduled Tribes (ST) - Age 16-17 - Total
India,4377009,4104266,8481275,6075719,5701885,11777604,3502841,3379070,6881911,9578560,9080955,18659515,2323509,2215345,4538855,2232968,2152853,4385821
Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,86089,79906,165994,129320,118261,247581,71536,67901,139436,200856,186161,387017,48163,45869,94032,46343,43573,89916
Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assam,135725,123440,259165,192879,177900,370778,128901,127313,256214,321779,305213,626992,91567,92371,183938,91235,95080,186315
Bihar,67266,62760,130026,94951,88440,183391,55039,54852,109891,149990,143293,293282,36664,36035,72700,35729,35065,70793
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,342004,331349,673354,475057,454810,929867,250253,246988,497240,725310,701798,1427107,168460,164169,332629,162263,161827,324091
Dadra and Nagar Haveli and Daman and Diu,10205,9690,19895,15370,13996,29365,9870,9084,18954,25240,23080,48319,6072,5296,11369,5514,4975,10490
Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goa,4823,4505,9328,7299,6727,14026,4801,4333,9134,12100,11060,23160,3305,2874,6179,3129,3087,6216
Gujarat,409275,371445,780720,525402,485127,1010529,289968,279150,569118,815370,764277,1579647,191037,179695,370732,181848,166933,348782
Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himachal Pradesh,10952,10380,21332,16147,14834,30982,10694,10008,20702,26841,24842,51684,7240,6886,14125,7337,7125,14462
Jammu and Kashmir,43392,42673,86065,68420,65572,133993,60458,51903,112361,128878,117475,246353,35929,29445,65374,30491,24912,55403
Jharkhand,372580,350777,723358,511690,477562,989252,319544,319411,638955,831234,796973,1628207,213373,215430,428803,203872,213231,417103
Karnataka,144693,135699,280392,202608,190734,393342,119375,115841,235216,321983,306575,628558,83902,79447,163350,84942,77054,161996
Kerala,14397,13573,27970,21364,19872,41236,13055,12684,25740,34419,32557,66975,7810,7743,15553,7165,6800,13964
Ladakh,10289,9638,19927,13954,12625,26579,9056,7966,17021,23009,20591,43600,6078,5796,11874,6198,5864,12062
Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madhya Pradesh,830127,788367,1618493,1098937,1056824,2155760,536087,536942,1073030,1635024,1593766,3228790,351996,341030,693025,332117,326737,658854
Maharashtra,381953,357096,739049,572299,525900,1098199,356706,329025,685730,929004,854925,1783930,229646,207726,437373,221374,201337,422711
Manipur,32440,29140,61580,55380,49577,104957,45678,41621,87299,101057,91199,192256,32547,30284,62831,32288,31301,63589
Meghalaya,98974,93682,192656,128164,121717,249882,96176,94050,190227,224341,215767,440108,61528,60771,122299,61009,60048,121058
Mizoram,30698,28998,59695,42226,39874,82100,32194,30740,62934,74420,70614,145034,21228,20470,41698,22248,21668,43916
Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odisha,376701,370454,747156,538899,532050,1070948,296791,287458,584249,835690,819507,1655197,188686,181834,370520,176513,172637,349151
Puducherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajasthan,473218,428744,901962,639595,577041,1216636,330825,307634,638459,970420,884675,1855095,217470,202440,419910,209320,200614,409934
Sikkim,4493,4220,8712,7792,7444,15236,6835,6654,13489,14627,14098,28725,4663,4553,9216,4919,4948,9866
Tamil Nadu,27448,24410,51858,39932,36056,75988,21812,20527,42339,61744,56583,118327,14269,12740,27009,13103,11730,24833
Telangana,116087,101582,217669,170221,151729,321951,100821,92291,193113,271043,244020,515063,69934,63643,133577,65925,58066,123991
Tripura,36552,34287,70839,49147,45902,95050,40159,37901,78060,89307,83803,173110,26296,24617,50913,26290,23971,50262
Uttar Pradesh,61061,56003,117064,80399,74015,154414,37611,36257,73868,118010,110272,228283,25287,23136,48423,24580,22370,46950
Uttarakhand,8546,7610,16156,12957,11318,24276,9271,8516,17787,22228,19835,42063,6766,6227,12993,6849,6559,13408
West Bengal,159675,153171,312846,232619,222866,455485,144787,142155,286942,377406,365021,742427,102146,96445,198591,102203,97736,199939
